scouter,eventCode,matchLevel,matchNumber,robot,teamNumber,as,at,au,al,ac,tu,tl,wd,cif,ss,c,lsr,be,cn,ds,dr,ba,d,cf,all,co,cnf,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41
Eg,2022WK0,qm,12,b2,5459,[29],N,0,0,N,0,0,N,t,"[42,54]",x,x,N,2,,,N,N,N,N,,a,,,,,,,,,,,,,
Eg,2022WK0,qm,12,b1,2370,[29],Y,0,0,N,1,0,N,g,"[66,67,28,28]",2,2,N,2,,,N,N,N,N,,a,,,,,,,,,,,,,
BM,2022WK0,qm,12,r2,1153,[54],Y,0,0,N,2,2,N,g,,x,x,N,0,a,x,N,N,N,N,Alright. Can shoot in both goals.,v,,,,,,,,,,,,,
AM,2022WK0,qm,12,r1,501,[44],Y,0,0,N,0,0,N,g,,x,x,N,0,a,a,Y,N,N,N,,a,,,,,,,,,,,,,
CS,2022WK0,qm,13,r3,151,[31],N,0,0,N,0,8,N,,,f,,N,1,a,a,N,N,N,N,8724 climbed ,a,,,,,,,,,,,,,
ES,2022WK0,qm,13,b3,1721,[56],N,0,0,N,0,0,N,,,,,N,0,n,n,N,N,N,N,,n,,,,,,,,,,,,,
Eg,2022WK0,qm,13,b2,1721,[29],N,0,0,N,0,0,N,x,,x,,N,0,a,x,N,N,N,N,Couldn't get shooter to work,v,,,,,,,,,,,,,
AM,2022WK0,qm,13,r1,8724,[18],Y,0,0,N,2,0,N,g,"[43,43,54,43,43,43,43]",2,2,Y,0,a,a,N,N,N,N,,v,,,,,,,,,,,,,
Eg,2022WK0,qm,13,b1,157,[18],Y,0,0,N,0,4,N,,"[30,30,31,31,30,30,43,44,42]",x,x,N,0,,,N,N,N,N,,a,,,,,,,,,,,,,
BM,2022WK0,qm,13,r2,88,[44],N,0,0,N,4,0,N,x,"[19,20,45,56]",x,x,N,0,v,x,N,N,N,Y,OHYEAH,v,,,,,,,,,,,,,
ES,2022WK0,qm,14,b3,2713,[43],N,0,0,N,0,0,N,g,"[20,32,33,45]",x,x,N,1,a,n,N,N,N,N,,a,,,,,,,,,,,,,
BM,2022WK0,qm,14,r2,125,[19],Y,3,0,Y,5,0,N,g,"[32,44,44,45,45]",4,x,N,0,v,x,N,N,N,Y,Good robot,v,,,,,,,,,,,,,
EVAN ,2022WK0,qm,14,b1,3467,[54],Y,0,0,N,5,0,N,g,"[42,42,42]",2,2,N,2,,,N,N,N,N,Went crazy in auto  ,a,,,,,,,,,,,,,
AM,2022WK0,qm,14,r1,2342,[32],Y,0,0,N,0,0,N,x,,x,x,N,0,a,v,N,N,N,N,"Has no intake, shooter, or climber",n,,,,,,,,,,,,,
Eg,2022WK0,qm,14,b2,6153,[53],N,0,0,N,0,0,N,,[56],x,x,N,0,a,x,N,N,N,N,Could be a good defense bot,,,,,,,,,,,,,,
CS,2022WK0,qm,14,r3,5813,[19],N,0,0,N,6,0,N,x,,x,x,N,0,x,x,N,Y,N,N,Broke with 3467,a,,,,,,,,,,,,,
ES,2022WK0,qm,15,b3,4041,[55],N,0,0,N,0,0,N,g,[32],x,x,N,0,n,x,N,N,N,N,,n,,,,,,,,,,,,,
CS,2022WK0,qm,15,r3,509,[44],N,0,0,N,1,0,N,,[32],4,4,Y,2,a,x,N,N,N,Y,,v,,,,,,,,,,,,,
Eg,2022WK0,qm,15,b2,4041,[29],Y,0,0,N,0,0,N,g,,x,,N,0,n,x,N,N,N,N,Shooter wasn't working well,v,,,,,,,,,,,,,
EG,2022WK0,qm,15,b1,5687,[41],N,0,0,N,4,0,N,g,"[52,52,17]",x,x,N,0,x,x,N,N,N,N,,a,,,,,,,,,,,,,
BM,2022WK0,qm,15,r2,246,[32],N,0,0,N,0,0,N,,,x,x,N,0,n,x,N,N,N,N,Did nothing,v,,,,,,,,,,,,,
AM58S,2022WK0,qm,15,r1,58,[19],N,0,0,N,1,7,N,g,"[30,20]",2,2,N,2,a,x,N,N,N,Y,Good low,a,,,,,,,,,,,,,
BM,2022WK0,qm,16,r2,4909,[41],Y,0,0,N,1,0,N,g,[29],x,x,N,0,n,x,N,N,N,N,Meh,v,,,,,,,,,,,,,
Eg,2022WK0,qm,16,b1,238,[41],Y,1,0,N,9,0,N,g,"[42,42,54,42,30,29,30,29,42]",x,x,N,0,,,N,N,N,N,,a,,,,,,,,,,,,,
CS,2022WK0,qm,16,r3,1153,[31],N,0,0,Y,6,0,N,,"[44,29]",2,2,N,1,a,a,N,N,N,N,Climb hung low,a,,,,,,,,,,,,,
Eg,2022WK0,qm,16,b3,501,[54],Y,1,0,N,0,0,N,g,[46],x,x,N,0,a,a,N,N,N,N,,a,,,,,,,,,,,,,
AM58S,2022WK0,qm,16,r1,1073,[56],N,0,0,N,0,0,N,b,,x,x,N,1,a,x,N,N,N,N,Not good,n,,,,,,,,,,,,,
Eg,2022WK0,qm,16,b2,22370,[29],N,1,0,Y,2,0,N,b,,f,,N,0,v,x,N,N,N,N,Serve/ would make good third pick,v,,,,,,,,,,,,,
