Ac,All,As,At,Ba,Be,C,Cf,Cif,Cnf,Co,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,D,Dr,Ds,Event Code,Match Level,Match Number,Robot,Scouter,Ss,Team Number,Wd,Al,Au,Cn,Tl,Tu
N,N,[44],N,N,Y,4,N,g,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,7,b1,ps,[29],1768,Y,0,1,1,0,1
N,N,[54],Y,N,Y,2,N,g,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,9,b1,ps,"[66,54,57,53,44]",1768,Y,0,2,2,0,5
N,N,[31],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,14,b2,jm,"[19,9]",1768,N,0,0,2,0,5
N,N,[42],Y,N,N,f,N,g,a,Nice high accuracy.,,,,,,,,,,,,,,,N,x,v,2022WK0,qm,22,r3,ES,"[54,55,55,54]",1768,N,0,1,0,0,7
N,N,[54],Y,N,N,1,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,27,b2,am,"[19,31,29,31]",1922,N,0,0,2,5,0
N,N,[43],Y,N,N,x,N,g,n,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,18,b3,AM,"[30,29]",1922,N,0,0,0,1,0
Y,N,[17],N,N,Y,f,N,t,a,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,22,r1,RS,"[29,53,19,40,29]",1922,Y,1,0,1,5,0
N,N,[43],N,N,N,2,N,,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,26,b1,cf,,2262,N,0,0,1,0,0
Y,Y,[17],N,N,Y,2,N,t,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,20,r1,RS,[49],2262,Y,0,0,2,2,0
N,Y,[29],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,12,r2,jm,"[25,37]",2262,N,0,0,3,0,2
Y,Y,[29],N,N,Y,4,N,g,v,Very accurate with shooting the cargo,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,16,r1,RS,"[41,54,17,7,20]",3467,Y,0,1,2,2,8
N,N,[29],Y,N,Y,4,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,30,r1,RS,"[42,42,31,31,24,30,31]",3467,N,0,0,0,6,0
Y,Y,[17],Y,N,Y,4,N,g,v,very fast,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,23,r2,MM,"[30,30,41]",3467,Y,0,0,3,0,3
N,N,[44],Y,N,N,f,N,,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,8,b1,ps,,3566,N,0,0,1,0,0
N,N,[41],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,n,v,2022NHGRS,qm,28,b2,am,"[44,44,43,43]",3566,N,0,0,2,4,0
